learning_rate,output_dimension,temperature,loss,dataset_name
0.0001,8,0.1,2.6334903240203857,achilles
0.0001,8,1.0,4.765284061431885,achilles
0.0001,16,0.1,2.4077091217041016,achilles
0.0001,16,1.0,4.767116546630859,achilles
0.0001,32,0.1,2.5186927318573,achilles
0.0001,32,1.0,4.776057720184326,achilles
0.0005,8,0.1,1.5110474824905396,achilles
0.0005,8,1.0,4.717429161071777,achilles
0.0005,16,0.1,0.9904567003250122,achilles
0.0005,16,1.0,4.721652030944824,achilles
0.0005,32,0.1,0.7377070188522339,achilles
0.0005,32,1.0,4.704272747039795,achilles
0.001,8,0.1,1.300210952758789,achilles
0.001,8,1.0,4.696254730224609,achilles
0.001,16,0.1,0.28598856925964355,achilles
0.001,16,1.0,4.6902055740356445,achilles
0.001,32,0.1,0.043561577796936035,achilles
0.001,32,1.0,4.693056583404541,achilles
0.0001,8,0.1,3.638321876525879,buddy
0.0001,8,1.0,4.9035515785217285,buddy
0.0001,16,0.1,3.185471773147583,buddy
0.0001,16,1.0,4.871102333068848,buddy
0.0001,32,0.1,3.135470390319824,buddy
0.0001,32,1.0,4.88671875,buddy
0.0005,8,0.1,2.507261037826538,buddy
0.0005,8,1.0,4.810274600982666,buddy
0.0005,16,0.1,2.013474941253662,buddy
0.0005,16,1.0,4.821319580078125,buddy
0.0005,32,0.1,1.5566365718841553,buddy
0.0005,32,1.0,4.833408832550049,buddy
0.001,8,0.1,2.2869791984558105,buddy
0.001,8,1.0,4.7981977462768555,buddy
0.001,16,0.1,1.603395938873291,buddy
0.001,16,1.0,4.799254894256592,buddy
0.001,32,0.1,1.2517064809799194,buddy
0.001,32,1.0,4.787862777709961,buddy
0.0001,8,0.1,3.807826280593872,cicero
0.0001,8,1.0,5.010918617248535,cicero
0.0001,16,0.1,3.6062169075012207,cicero
0.0001,16,1.0,4.980960845947266,cicero
0.0001,32,0.1,3.369246244430542,cicero
0.0001,32,1.0,4.99514627456665,cicero
0.0005,8,0.1,3.2513484954833984,cicero
0.0005,8,1.0,4.8877081871032715,cicero
0.0005,16,0.1,2.3970673084259033,cicero
0.0005,16,1.0,4.900447368621826,cicero
0.0005,32,0.1,2.0976853370666504,cicero
0.0005,32,1.0,4.927295684814453,cicero
0.001,8,0.1,2.929093599319458,cicero
0.001,8,1.0,4.867074966430664,cicero
0.001,16,0.1,1.9976516962051392,cicero
0.001,16,1.0,4.894433975219727,cicero
0.001,32,0.1,1.7877607345581055,cicero
0.001,32,1.0,4.938799858093262,cicero
0.0001,8,0.1,2.890878677368164,gatsby
0.0001,8,1.0,4.850645542144775,gatsby
0.0001,16,0.1,2.9410290718078613,gatsby
0.0001,16,1.0,4.862475395202637,gatsby
0.0001,32,0.1,2.8042821884155273,gatsby
0.0001,32,1.0,4.876654148101807,gatsby
0.0005,8,0.1,2.365055799484253,gatsby
0.0005,8,1.0,4.834939956665039,gatsby
0.0005,16,0.1,1.527387261390686,gatsby
0.0005,16,1.0,4.789546012878418,gatsby
0.0005,32,0.1,1.4061172008514404,gatsby
0.0005,32,1.0,4.785953998565674,gatsby
0.001,8,0.1,1.9519927501678467,gatsby
0.001,8,1.0,4.795661926269531,gatsby
0.001,16,0.1,1.4675335884094238,gatsby
0.001,16,1.0,4.784317493438721,gatsby
0.001,32,0.1,1.1663541793823242,gatsby
0.001,32,1.0,4.769101619720459,gatsby
