learning_rate,num_hidden_units,output_dimension,loss,dataset_name
0.001,32,32,0.08027005195617676,achilles
0.001,32,64,0.1410306692123413,achilles
0.001,32,128,-0.1297459602355957,achilles
0.001,64,32,-0.6498687267303467,achilles
0.001,64,64,-0.7310552597045898,achilles
0.001,64,128,-0.7851899862289429,achilles
0.005,32,32,-0.8086779117584229,achilles
0.005,32,64,-0.9469350576400757,achilles
0.005,32,128,-0.8638298511505127,achilles
0.005,64,32,-1.6043974161148071,achilles
0.005,64,64,-1.7685091495513916,achilles
0.005,64,128,-2.1381990909576416,achilles
0.001,32,32,1.1890895366668701,buddy
0.001,32,64,1.1061384677886963,buddy
0.001,32,128,1.2278852462768555,buddy
0.001,64,32,0.37629222869873047,buddy
0.001,64,64,0.3714815378189087,buddy
0.001,64,128,0.256014347076416,buddy
0.005,32,32,0.011427998542785645,buddy
0.005,32,64,-0.10890114307403564,buddy
0.005,32,128,-0.08276402950286865,buddy
0.005,64,32,-1.0842115879058838,buddy
0.005,64,64,-1.3066394329071045,buddy
0.005,64,128,-1.1382070779800415,buddy
0.001,32,32,1.630403995513916,cicero
0.001,32,64,1.811094045639038,cicero
0.001,32,128,1.5253314971923828,cicero
0.001,64,32,1.522614598274231,cicero
0.001,64,64,1.3642218112945557,cicero
0.001,64,128,1.1923503875732422,cicero
0.005,32,32,1.4086041450500488,cicero
0.005,32,64,1.466274619102478,cicero
0.005,32,128,1.3005638122558594,cicero
0.005,64,32,0.9233349561691284,cicero
0.005,64,64,1.0966094732284546,cicero
0.005,64,128,0.7290302515029907,cicero
0.001,32,32,1.0092389583587646,gatsby
0.001,32,64,0.9184431433677673,gatsby
0.001,32,128,0.9402452707290649,gatsby
0.001,64,32,0.42371487617492676,gatsby
0.001,64,64,0.4624924659729004,gatsby
0.001,64,128,0.2688490152359009,gatsby
0.005,32,32,0.3873177766799927,gatsby
0.005,32,64,0.3653695583343506,gatsby
0.005,32,128,0.1515711545944214,gatsby
0.005,64,32,-0.7939362525939941,gatsby
0.005,64,64,-1.0125627517700195,gatsby
0.005,64,128,-0.8191277980804443,gatsby
